sentence_id,atomic_sentence
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
0,alice is place
0,alice is detroit
0,after alice decided return .
0,where he accidently joined in with a festival together with mc5  iggy and the stooges
0,"alice to his roots, his place of birth, detroit, where he accidently joined in with a festival together with mc5  iggy and the stooges"
0,"alice of birth, detroit,"
0,alice with a festival
0,alice with mc5  iggy and the stooges
