sentence_id,model_atomic,gold_atomic
1,"Jakobshavn Isbr is a major contributor to the mass balance of the Greenland ice sheet.","Jakobshavn Isbræ is a major contributor to the mass balance of the Greenland ice sheet."
1,"Jakobshavn Isbr passing out of the fjord.","Jakobshavn Isbræ releases large icebergs that pass out of the fjord each year."
1,"Some 10  of all Greenland icebergs some 35 billion tonnes of icebergs calved passing out of the fjord.","Around 10% of Greenland’s icebergs—about 35 billion tonnes—calve and flow out of the fjord annually."

2,"Wright played the part of mufasa.","Wright played the role of Mufasa in the original Broadway production of *The Lion King*."
2,"Wright voiced the iguanodon in disney 's cgi film '' dinosaur.","He also voiced Kron the Iguanodon in Disney’s CGI film *Dinosaur*."

3,"She wrote the piano piece '' the kiss '' that was used for a worldwide tv advertising campaign for apple ipad 3.","She composed the piano piece “The Kiss,” which was used globally in Apple’s iPad 3 advertising campaign."
3,"She was used for a worldwide tv advertising campaign for apple ipad 3.","Her composition was featured in a worldwide ad campaign for the iPad 3."
3,"It was used for marks  spencer 's advert.","The piece was additionally used in a Marks & Spencer advertisement."

4,"The swiss mounted two attempts on everest, pre and post - monsoon.","The Swiss launched two Everest expeditions in 1952—one pre-monsoon and one post-monsoon."

5,"X was one of the prominent leaders of the '' ssaku hanga '' movement in 20th century japan.","Hiratsuka Unichi was a prominent leader of the sōsaku-hanga movement in 20th-century Japan."

6,"The lead track is an aggressive track which stylistically combines the band 's first album.","The lead track blends the aggressive style of the band’s debut album with their later sound."
6,"The lead track combines the band 's first album.","The track fuses elements of their early and more recent musical styles."

9,"The vicious white kids were a punk rock band that formed for one concert,.","The Vicious White Kids were a punk rock band formed for one single concert."
9,"The vicious white kids formed for one concert.","They came together solely to perform one show."

10,"However , any two unmarried people , including same - sex couples , can register for a reciprocal beneficiary relationship , which provides some of the rights and benefits that come with marriages and civil unions.","Any two unmarried individuals, including same-sex couples, may register for a reciprocal-beneficiary relationship, gaining some rights associated with marriage or civil unions."
10,"Any two unmarried people provides some of the rights and benefits come with marriages and civil unions.","Such partnerships provide certain rights and benefits similar to those granted in marriages or civil unions."
10,"Any two unmarried people come with marriages and civil unions.","This arrangement grants some marriage-like rights to unmarried couples."

12,"She approached him.","She approached him."
12,"She invited him to visit her residence.","She invited him to visit her home."

17,"He was inducted.","He was inducted into a sports hall of fame."
17,"He was inducted into the university of idaho sports hall of fame with the large inaugural class of 2007.","He entered the University of Idaho Sports Hall of Fame as part of its inaugural 2007 class."

18,"The grey ghost streamer is an artificial streamer fly primarily meant to imitate smelt.","The Grey Ghost Streamer is a type of artificial fly designed to imitate smelt."

19,"F. h. a. scrivener remarked.","F.H.A. Scrivener made a remark on a textual detail."
19,"F. h. a. scrivener remarked , that in rev 17:4 he created new greek word :  ( instead  ).","Scrivener noted that in Revelation 17:4 he inadvertently formed a new Greek word in place of the expected term."

23,"The local branch shut down.","The local Woolworths branch shut down when the company entered administration."
23,"Were rumours of a wetherspoons pub moving in or a tesco metro.","Rumors circulated that a Wetherspoons pub or a Tesco Metro might replace it."

26,"His family lived.","His family lived in a working-class neighborhood for a period."
26,"His family attended st . joan of arc catholic elementary school.","He attended St. Joan of Arc Catholic Elementary School."

32,"He forged a partnership with fellow irish u- 21 international shane mcfaul.","He formed an on-field partnership with fellow Ireland U-21 player Shane McFaul."
32,"X reach the semi finals of both the league and fai cups.","Together they helped UCD reach the semifinals of both the League and FAI Cups."

38,"The album debuted 200 for the chart dated on december 11, 2015, which is lower than the chart position achieved by g - eazy 's first album.","The album debuted on the Billboard 200 at a position lower than G-Eazy’s earlier release."

39,"Multiple chemical sensitivity is a disputed chronic condition characterized by symptoms that the affected person attributes to low - level exposures to commonly used chemicals.","Multiple Chemical Sensitivity is a contested condition in which individuals attribute symptoms to low-level chemical exposures."

40,"Its greatest growth occurred.","Its greatest growth took place under Ntare Rugama."
40,"Its greatest growth ruled the nation from about 1796 to 1850.","Ntare Rugama ruled the nation from roughly 1796 to 1850."
40,"Its greatest growth saw the kingdom double in size.","During this period, the kingdom doubled in size."

42,"By the end of october he had used up 150 of his savings on her.","By the end of October, he had spent 150 of his savings on her."

44,"The median income is 43,333.","The median income in the area is $43,333."

45,"Valley rfc is a sports club based in hong kong with a rugby section ( known as societe generale valley rfc for sponsorship reasons ) as well as netball and hockey sections.","Valley RFC is a Hong Kong sports club with rugby, netball, and hockey divisions, branded as Société Générale Valley RFC for sponsorship."

46,"He becomes a resident then an attending physician in internal medicine, and eventually residency director of another hospital.","He becomes a resident, then an attending physician in internal medicine, and eventually serves as residency director at another hospital."

48,"Team recent match was.","The team’s most recent match was played shortly before a major tournament."

49,"He was created baron stanley of preston.","He was granted the title Baron Stanley of Preston."
49,"In government he served as president of the board of trade ( 1886 - 1888.","He served as President of the Board of Trade from 1886 to 1888."

51,"Codes are expected to be used.","Codes are expected to be implemented in future procedures."
51,"1 - 811 will not be used.","The code 1-811 will not be used."

52,"She had a half - sister.","She had one half-sister."

55,"He instructs strax.","He gives instructions to Strax."
55,"He will erase the last hour of clara 's memories with just a touch.","He plans to erase Clara’s last hour of memories with a single touch."

57,"The 2007 constitutional amendment was voided.","The 2007 constitutional amendment was declared void."
57,"The 2007 constitutional amendment was overturned before the special run - off election for principal chief.","The amendment was overturned before the special runoff election for principal chief."

59,"She hosts a variety of events through the deborah king center.","She hosts various events through the Deborah King Center."

61,"Amelio hired an outsider to solve the problem.","Amelio brought in an external expert to fix the issue."

62,"It shares many concepts with jewish kabbalah.","The system shares numerous concepts with Jewish Kabbalah."

63,"The frelimo flag looks.","The FRELIMO flag resembles the current national flag."
63,"The frelimo flag lacking the emblem.","However, the earlier FRELIMO flag lacked the emblem."

64,"Her body was taken to mainland portugal.","Her body was transported to mainland Portugal."
64,"Her body interred in the braganza pantheon.","She was interred in the Braganza Pantheon."
64,"Her remains were taken to brazil.","Nearly 130 years later, her remains were moved to Brazil."

66,"He is the most powerful man in the world.","He is portrayed as the most powerful man in the world."
66,"He has politicians throughout the government on his payroll.","He keeps numerous government officials on his payroll."

67,"X fights the attempted body - switch.","Sasuke fights off Orochimaru’s attempted body-switch."
67,"X giving access to many of orochimaru 's abilities in the process.","This gives Sasuke access to many of Orochimaru’s abilities."

69,"Lady yuhwa got.","Lady Yuhwa became pregnant with his first and only son."
69,"Hae mosu was captured blinded him.","Hae Mosu was captured by Han soldiers, who blinded him."
69,"Lady yuhwa blinded him.","Lady Yuhwa mourned his suffering."

72,"Chersonesos was the residence of a khazar tudun in the late 600s.","Chersonesos served as the residence of a Khazar *tudun* in the late 7th century."

74,"He represented the country.","He represented his country in international events."

75,"Nadal made it to his ninth consecutive final.","Nadal reached his ninth straight final at the event."
75,"He met world no . 1 novak djokovic.","There he faced world No. 1 Novak Djokovic."
75,"Nadal recording his first defeat at the event since 2004.","He recorded his first loss at the event since 2004."
75,"Nadal lost in straight sets.","Nadal lost the match in straight sets."

77,"The university is an ongoing controversy about fraud and academic dishonesty committed by the university of north carolina at chapel hill ( unc.","UNC faced an ongoing controversy involving fraud and academic dishonesty."
77,"Band first single was the way she feels ''.","The band’s first single was “The Way She Feels.”"
77,"Band first single feels.","The band’s debut single conveys the emotional tone of their early work."
77,"Band first single receiving radio airplay in the united states on 27 may 2007.","The single began receiving radio airplay in the United States on May 27, 2007."

79,"He prepared the piano - vocal score for berg 's '' wozzeck '' and the piano score of berg 's '' chamber concerto.","He prepared the piano-vocal score for Berg’s *Wozzeck* and the piano score for Berg’s *Chamber Concerto*."
79,"He established his place.","He established his place in the musical world through this work."

81,"The 1st battalion was disbanded.","The 1st Battalion was disbanded."
81,"Most of its members rebadged to the newly recreated 3rd battalion princess patricia 's canadian light infantry.","Most members were reassigned to the newly recreated 3rd Battalion, Princess Patricia’s Canadian Light Infantry."

82,"X is considered.","Becoming a member of the Guards is considered a major achievement."
82,"He can achieve at the citadel.","A cadet can earn this distinction at The Citadel."
82,"X becoming a member of the guards.","Earning membership in the Guards represents a significant honor for cadets."

83,"The bronze shows de la salle teaching a young child whilst.","The bronze statue depicts De La Salle teaching a young child."

84,"The hall was owned.","The hall was historically owned by the institution."
84,"The hall was bombed in the manchester blitz rebuilt.","The hall was bombed in the Manchester Blitz and later rebuilt."

85,"Vincent buckley was born.","Vincent Buckley was born in Australia."
85,"Vincent buckley was educated at both the university of melbourne and the university of cambridge.","He later studied at both the University of Melbourne and the University of Cambridge."

86,"He made 74 league appearances for mk dons.","He made 74 league appearances for MK Dons."
86,"He scoring 22 goals played for the england u17, u18 and u19 teams.","He scored 22 goals and also represented England at the U17, U18, and U19 levels."
86,"He played for the england u17, u18 and u19 teams.","He played for England’s U17, U18, and U19 teams."

87,"Tony stewart lost control.","Tony Stewart lost control while leading the race."
87,"He were running one - two at time.","He and another driver were running first and second at the time."

88,"X inviting bands and artists from all over the world.","The festival invited bands and artists from around the world."

89,"Peter 's daughter christine chrisje '.","Peter’s daughter was Christine “Chrisje.”"
89,"Had been working in the business from early childhood in practise she took over.","She had worked in the business since childhood and eventually took it over."
89,"In practise she took over.","She ultimately assumed control of the business."

90,"Kansas is a neighboring town which starts a war with jericho in the wake of the national destruction.","A neighboring town, Kansas, initiates a conflict with Jericho after the national catastrophe."
90,"He starts a war with jericho in the wake of the national destruction.","The town launches a confrontation with Jericho following the nationwide disaster."

91,"I could see.","I could see what was happening clearly."

92,"Zain verjee is a canadian state department correspondent with cnn, based in washington, d.c.","Zain Verjee is a Canadian journalist who served as CNN’s State Department correspondent in Washington, D.C."
92,"She worked the situation room '' and a co - anchor of cnn international 's '' your world.","She worked on *The Situation Room* and co-anchored CNN International’s *Your World*."

93,"Contemporary factory ships have their origins.","Modern factory ships trace their origins to early whaling vessels."
93,"Contemporary factory ships sailed into remote waters.","Early versions sailed into remote waters."
93,"Contemporary factory ships processed the whale oil.","They processed whale oil directly on board."

94,"Wogan perfect recall was a channel 4 game show presented by terry wogan broadcasted from 25 august 2008 to 19 november 2010.","*Wogan’s Perfect Recall* was a Channel 4 game show hosted by Terry Wogan and aired from August 25, 2008, to November 19, 2010."

95,"The abundant taxis are.","The most common taxis in the area belong to the Nissan Tsuru model."

96,"He showed great talent for music.","He demonstrated exceptional musical talent early in his life."
96,"He was sent in 1824 to buenos aires.","In 1824, he was sent to Buenos Aires to continue his musical development."

97,"The town is.","The town is situated on mostly flat terrain."
97,"The town is situated at the boundary between two ecoregions : the central great plains and the flint hills.","It lies at the boundary between the Central Great Plains and the Flint Hills regions."

98,"Science university is the present - day ( 2006 ) name for a university that can trace its roots back to the 1860s.","Oregon Health & Science University (OHSU) is the present-day name for an institution whose origins date back to the 1860s."
98,"He can trace its roots.","The university traces its roots to its 19th-century predecessors."

99,"They never succeeded.","They ultimately never succeeded in their efforts."
99,"They conquering the reaches of britain beyond the tyne.","They never managed to conquer the regions of Britain beyond the River Tyne."

100,"He composed his '' the accursed share ''.","He composed his work *The Accursed Share*."
100,"He founded the influential journal '' critique ''.","He founded the influential journal *Critique*."

101,"It went up.","The total amount eventually increased significantly."

102,"Thousand other children benefited.","Thousands of other children benefited from the device."
102,"Thousand other children was perfected.","Once perfected, the device improved the lives of many children."

103,"Floyd keith cannon was a popular deejay on radio station kwkh - am in shreveport, louisiana, who was considered an authority on country music.","Floyd Keith Cannon was a popular DJ on KWKH-AM in Shreveport and was regarded as a country music authority."
103,"He was considered.","He was widely considered knowledgeable in country music."

104,"We was getting disappointed.","We were becoming increasingly disappointed."
104,"We were handling business.","We were handling business matters ourselves."

105,"He wrote maya wrote '' bollywood kee - maa ''.","He wrote *Bollywood Kee-Maa*, credited under Maya’s name."

106,"A tandy pocket computer is one of a line of 1980s small pocket computers -- calculator - sized programmable computing devices -- sold primarily under the tandy or radio shack brands, but were actually rebadged sharp and casio devices with different model names.","The Tandy Pocket Computer line consisted of 1980s calculator-sized programmable devices sold by Tandy/Radio Shack but originally manufactured by Sharp and Casio."
106,"A tandy pocket computer were rebadged sharp and casio devices with different model names.","The devices were rebadged versions of Sharp and Casio models."

107,"Irvin sello mhlambi is a south african football ( soccer ) striker who formerly played for premier soccer league club orlando pirates.","Irvin Sello Mhlambi is a South African football striker who formerly played for Orlando Pirates."
107,"He played for premier soccer league club orlando pirates.","He played as a striker for the Orlando Pirates."
107,"Irvin sello mhlambi born.","Irvin Sello Mhlambi was born in 1984."

108,"Gerena became a security guard the same facility he would later help rob.","Gerena worked as a security guard at the same facility he later helped to rob."
108,"He would help rob.","He would eventually participate in the robbery."

109,"He scored 19 goals.","He scored 19 goals during his time with the club."

110,"The house was to remain.","The house was intended to remain unoccupied for many years."
110,"22nd baron hastings moved.","The 22nd Baron Hastings eventually moved into the west wing."

111,"The couple began manipulating the tianqi emperor, who renamed him wei zhongxian and the emperor 's favour.","The couple manipulated the Tianqi Emperor, who renamed him Wei Zhongxian and granted him great favor."
111,"The couple renamed him wei zhongxian and the emperor 's favour.","Through manipulation, they secured his renaming and the emperor’s favor."
