complex_sentence,cleaned_text,sentence_id
"Jakobshavn Isbræ is a major contributor to the mass balance of the Greenland ice sheet , producing some 10 % of all Greenland icebergs some 35 billion tonnes of icebergs calved off and passing out of the fjord every year .","jakobshavn isbr is a major contributor to the mass balance of the greenland ice sheet , producing some 10  of all greenland icebergs some 35 billion tonnes of icebergs calved off and passing out of the fjord every year .",1
Wright also played the part of Mufasa in the original cast of The Lion King on Broadway and voiced Kron the Iguanodon in Disney 's CGI film '' Dinosaur '' .,wright also played the part of mufasa in the original cast of the lion king on broadway and voiced kron the iguanodon in disney 's cgi film '' dinosaur '' .,2
"In 2007 , she wrote the piano piece '' The Kiss '' that was used for a worldwide TV advertising campaign for Apple iPad 3 and it was also used for Marks & Spencer 's advert .","in 2007 , she wrote the piano piece '' the kiss '' that was used for a worldwide tv advertising campaign for apple ipad 3 and it was also used for marks  spencer 's advert .",3
"The Swiss mounted two attempts on Everest , pre and post-monsoon in 1952 , led by Edouard Wyss - Dunant with Tenzing Norgay promoted to sirdar for the first time .","the swiss mounted two attempts on everest , pre and post-monsoon in 1952 , led by edouard wyss - dunant with tenzing norgay promoted to sirdar for the first time .",4
"Hiratsuka Unichi ( 平塚運一 , 1895 -- 1997 ) , born in Matsue in Honshū , was one of the prominent leaders of the '' sōsaku hanga '' movement in 20th Century Japan .","hiratsuka unichi (  , 1895 -- 1997 ) , born in matsue in honsh , was one of the prominent leaders of the '' ssaku hanga '' movement in 20th century japan .",5
The lead track is an aggressive track which stylistically combines the band 's first album '' As the Flower Withers '' with their more recent release '' Turn Loose the Swans '' .,the lead track is an aggressive track which stylistically combines the band 's first album '' as the flower withers '' with their more recent release '' turn loose the swans '' .,6
"The Vicious White Kids were a punk rock band that formed for one concert , August 15 , 1978 , at the Electric Ballroom in London , Sid Vicious was the lead singer .","the vicious white kids were a punk rock band that formed for one concert , august 15 , 1978 , at the electric ballroom in london , sid vicious was the lead singer .",9
"However , any two unmarried people , including same - sex couples , can register for a reciprocal beneficiary relationship , which provides some of the rights and benefits that come with marriages and civil unions .","however , any two unmarried people , including same - sex couples , can register for a reciprocal beneficiary relationship , which provides some of the rights and benefits that come with marriages and civil unions .",10
While the White House has yet to respond to any petition several state governors have responded .,while the white house has yet to respond to any petition several state governors have responded .,12
"He was inducted into the Oregon Sports Hall of Fame in 2005 , along with Dave Johnson and was inducted into the University of Idaho Sports Hall of Fame with the large inaugural class of 2007 .","he was inducted into the oregon sports hall of fame in 2005 , along with dave johnson and was inducted into the university of idaho sports hall of fame with the large inaugural class of 2007 .",17
The Grey Ghost Streamer is an artificial streamer fly primarily meant to imitate smelt .,the grey ghost streamer is an artificial streamer fly primarily meant to imitate smelt .,18
"F. H. A. Scrivener remarked , that in Rev 17:4 he created new Greek word : ακαθαρτητος ( instead ακαθαρτος ) .","f. h. a. scrivener remarked , that in rev 17:4 he created new greek word :  ( instead  ) .",19
The local branch of Woolworths shut down when the company went into administration and there were rumours of a Wetherspoons pub moving in or a Tesco Metro .,the local branch of woolworths shut down when the company went into administration and there were rumours of a wetherspoons pub moving in or a tesco metro .,23
"His family lived for a time in the low - income , working - class neighborhood of Harrowgate in Northeast Philadelphia 's Kensington section , where he attended St. Joan of Arc Catholic Elementary School .","his family lived for a time in the low - income , working - class neighborhood of harrowgate in northeast philadelphia 's kensington section , where he attended st. joan of arc catholic elementary school .",26
"He forged a partnership with fellow Irish U- 21 international Shane McFaul , helping U.C.D. reach the semi finals of both the League and FAI Cups .","he forged a partnership with fellow irish u- 21 international shane mcfaul , helping u.c.d. reach the semi finals of both the league and fai cups .",32
"The album debuted at number 5 on the US '' Billboard '' 200 for the chart dated on December 11 , 2015 , which is lower than the chart position achieved by G - Eazy 's first album '' These Things Happen '' ( 2014 ) .","the album debuted at number 5 on the us '' billboard '' 200 for the chart dated on december 11 , 2015 , which is lower than the chart position achieved by g - eazy 's first album '' these things happen '' ( 2014 ) .",38
"Multiple chemical sensitivity ( MCS ) , also known as idiopathic environmental intolerances ( IEI ) , is a disputed chronic condition characterized by symptoms that the affected person attributes to low - level exposures to commonly used chemicals .","multiple chemical sensitivity ( mcs ) , also known as idiopathic environmental intolerances ( iei ) , is a disputed chronic condition characterized by symptoms that the affected person attributes to low - level exposures to commonly used chemicals .",39
"Its greatest growth occurred under Ntare Rugama , who ruled the nation from about 1796 to 1850 and saw the kingdom double in size .","its greatest growth occurred under ntare rugama , who ruled the nation from about 1796 to 1850 and saw the kingdom double in size .",40
"Since it has not been heard by any Queen collectors , its existence is somewhat doubtful , although record producer Mack has also confirmed that the version did exist .","since it has not been heard by any queen collectors , its existence is somewhat doubtful , although record producer mack has also confirmed that the version did exist .",42
Valley RFC is a sports club based in Hong Kong with a rugby section ( known as Societe Generale Valley RFC for sponsorship reasons ) as well as Netball and Hockey sections .,valley rfc is a sports club based in hong kong with a rugby section ( known as societe generale valley rfc for sponsorship reasons ) as well as netball and hockey sections .,44
"J.D. begins the show as an intern at Sacred Heart Hospital ; after a year , he becomes a resident , then an attending physician in internal medicine , and eventually residency director of another hospital .","j.d. begins the show as an intern at sacred heart hospital ; after a year , he becomes a resident , then an attending physician in internal medicine , and eventually residency director of another hospital .",45
The Maori team 's most recent match was against England in Rotorua before the 2010 Rugby League Four Nations in New Zealand .,the maori team 's most recent match was against england in rotorua before the 2010 rugby league four nations in new zealand .,46
"The 2/33rd remained at Mersa Metruh , undertaking defensive duties , until May 1941 when the 7th Division began to prepare for an invasion of Vichy French - held Syria and Lebanon .","the 233rd remained at mersa metruh , undertaking defensive duties , until may 1941 when the 7th division began to prepare for an invasion of vichy french - held syria and lebanon .",48
In Rose 's ending it is hinted that he might be the only one powerful enough to stop Bison and in Cody 's ending Guy is shown trying to persuade him to come back on the right side of the law .,in rose 's ending it is hinted that he might be the only one powerful enough to stop bison and in cody 's ending guy is shown trying to persuade him to come back on the right side of the law .,49
"Her sisters are Fifi Trixibelle Geldof and Pixie Geldof , she also had a half - sister , Tiger Lily Hutchence .","her sisters are fifi trixibelle geldof and pixie geldof , she also had a half - sister , tiger lily hutchence .",51
